mode,family_semantics,certification_regime,severity,threshold_fraction,support_width,parent_cut_in_family,samples,family_size_mean,certified_family_member_count_mean,uncertified_member_fraction_mean,strict_parent_loss_rate,family_internal_loss_rate,family_internal_survival_rate,family_internal_resilience_rate,metric_artifact_risk_rate
ledger_failure,augmented_exact_k,cut_level,0.75,1.0,4,True,440,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,cut_level,1.0,0.25,1,True,1054,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,cut_level,1.0,0.25,2,True,430,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,cut_level,1.0,0.25,3,True,476,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,cut_level,1.0,0.25,4,True,440,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,cut_level,1.0,0.5,1,True,1054,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,cut_level,1.0,0.5,2,True,430,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,cut_level,1.0,0.5,3,True,476,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,cut_level,1.0,0.5,4,True,440,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,cut_level,1.0,0.75,1,True,1054,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,cut_level,1.0,0.75,2,True,430,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,augmented_exact_k,cut_level,1.0,0.75,3,True,476,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
